Nome,Vida,Atk,Def,SpA,SpD,Vel,Mag,Per,Ene,EnR,CrD,CrC,Sinergia,Habilidades,Equipaveis,Total,Poder R1,Poder R2,Poder R3,Tipo1,%1,Tipo2,%2,Tipo3,%3,Altura,Peso,Raridade,Estagio,FF,Code,Linhagem
Bulbasaur,50,17,20,26,24,22,21,12,22,15,10,15,3,1,1,543,150,280,384,planta,100,venenoso,80,,,0.5,6.9,3,1,,1,1
Ivysaur,68,22,25,37,36,31,38,14,35,18,10,15,3,1,1,718,222,422,552,planta,100,venenoso,80,,,0.95,14.0,6,2,,2,1
Venusaur,102,28,35,56,56,38,43,24,62,20,12,15,3,1,2,990,348,612,786,planta,100,venenoso,80,,,1.7,100.0,9,3,,3,1
Mega Venusaur,120,28,36,66,66,39,43,25,75,20,12,15,3,1,2,1080,414,698,876,planta,100,venenoso,80,,,2.1,155.5,-,FF,,4,1
Gigantamax Venusaur,280,33,37,58,58,15,43,24,75,20,12,15,3,1,2,1170,546,822,976,planta,100,venenoso,80,,,17,999,-,FF,,5,1
Charmander,42,24,19,25,18,24,19,15,21,18,10,15,3,1,1,546,146,268,378,fogo,100,,,,,0.6,8.5,2,1,,6,2
Charmeleon,60,38,24,37,22,34,20,29,28,20,15,18,3,1,1,720,218,392,524,fogo,100,dragao,10,,,1.15,19.0,6,2,,7,2
Charizard,82,53,34,58,32,59,25,38,40,25,15,20,3,1,2,995,340,578,760,fogo,100,voador,100,dragao,10,1.8,87.5,9,3,,8,2
Mega Charizard ,82,55,34,73,34,65,25,46,42,25,20,25,3,1,2,1085,386,644,830,fogo,100,voador,100,,,1.95,106.5,-,FF,,9,2
Ultra Charizard,97,60,45,60,41,60,30,38,50,25,20,25,3,1,2,1120,360,647,865,fogo,100,voador,100,dragao,100,1.9,108.5,-,FF,,10,2
Gigantamax Charizard,300,56,36,58,34,13,25,38,60,25,15,20,3,1,2,1175,536,796,964,fogo,100,voador,100,,,21,999,-,FF,,11,2
Squirtle,46,20,26,20,25,21,20,13,23,13,10,15,3,1,1,541,148,276,386,agua,100,,,,,0.55,9.0,3,1,,12,3
Wartortle,66,32,37,28,35,30,25,23,29,15,10,18,3,1,1,715,210,392,544,agua,100,,,,,0.9,22.5,6,2,,13,3
Blastoise,92,38,59,37,57,31,38,33,48,20,13,20,3,1,2,990,328,572,774,agua,100,,,,,1.65,85.5,9,3,,14,3
Mega Blastoise,92,40,65,46,65,33,40,45,50,20,15,20,3,1,2,1080,360,634,860,agua,100,,,,,1.75,103.0,-,FF,,15,3
Gigantamax Blastoise,290,41,62,39,58,8,38,33,58,20,13,20,2,1,2,1170,530,806,988,agua,100,,,,,20,999,-,FF,,16,3
Caterpie,35,16,15,17,16,16,22,14,23,18,5,8,4,1,0,453,126,227,321,inseto,100,,,,,0.25,2.2,1,1,,17,4
Metapod,40,17,28,18,26,15,24,14,30,18,5,10,4,1,1,548,168,292,392,inseto,100,,,,,0.55,8.4,4,2,,18,4
Butterfree,80,19,27,45,34,37,64,15,50,25,7,12,4,1,2,875,318,540,682,inseto,100,voador,100,,,1.2,32.0,8,3,,19,4
Gigantamax Butterfree,230,22,29,46,34,30,70,15,55,25,7,12,4,1,2,1045,480,700,852,inseto,100,voador,100,,,15,700,-,FF,,20,4
Weedle,28,18,12,13,10,17,14,24,23,22,6,12,4,1,0,452,138,236,314,inseto,100,venenoso,100,,,0.2,2.1,1,1,,21,5
Kakuna,36,18,26,15,25,16,16,25,28,22,6,10,4,1,1,552,158,288,388,inseto,100,venenoso,100,,,0.55,8.1,4,2,,22,5
Beedrill,66,50,26,16,25,49,16,70,35,28,18,14,4,1,2,888,338,530,668,inseto,100,venenoso,100,voador,50,1.15,29.5,8,3,,23,5
Mega Beedrill,71,56,26,16,25,55,17,91,36,30,25,20,4,1,2,995,404,607,759,inseto,100,venenoso,100,voador,50,1.35,40.5,-,FF,,24,5
Pidgey,43,21,15,16,15,35,17,20,24,12,6,10,5,1,1,527,161,277,369,voador,100,normal,100,,,0.35,1.7,2,1,,25,6
Pidgeotto,70,30,18,28,18,49,18,22,31,16,10,10,5,1,2,696,230,390,498,voador,100,normal,100,,,1.1,30.0,5,2,,26,6
Pidgeot,85,45,26,35,27,64,22,29,42,25,15,10,5,1,2,900,303,515,671,voador,100,normal,100,,,1.45,43.5,8,3,,27,6
Mega Pidgeot,85,46,28,54,28,76,22,31,48,30,15,12,5,1,2,1005,356,595,767,voador,100,normal,100,,,1.95,56.5,-,FF,,28,6
